timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 10:39:39,Hôpital de District Bonassama,AB-,44,8,0,36,3.5,4,77.1,normale,Hémoglobine dans les normes,5,10,1,True,True,normal,orageux
2022-01-04 04:36:48,Hôpital Général Douala,AB-,38,14,0,24,4.2,14,100.0,normale,Contrôle bactériologique négatif,1,4,1,False,True,normal,pluvieux
2022-01-19 09:48:31,Hôpital de District Bonassama,AB-,58,6,0,52,3.4,43,99.7,normale,Hémoglobine dans les normes,2,9,1,False,True,normal,pluvieux
2022-02-03 06:00:25,Hôpital Général Douala,AB-,46,11,18,53,4.3,9,97.6,normale,Hémoglobine dans les normes,3,6,2,False,False,normal,ensoleillé
2022-02-09 10:57:36,Centre Médical d'Excellence,AB-,49,8,0,41,3.3,11,93.7,normale,Contrôle bactériologique négatif,2,10,2,False,False,normal,nuageux
2022-02-10 16:47:18,Hôpital Général Douala,AB-,57,5,0,52,3.7,10,95.5,normale,Attention: proche expiration,3,16,2,False,False,campagne_don,ensoleillé
2022-02-11 18:56:44,Hôpital Militaire,AB-,40,5,0,35,3.9,3,93.3,normale,Hémoglobine dans les normes,4,18,2,False,False,normal,nuageux
2022-02-14 15:11:18,Hôpital Militaire,AB-,52,13,0,39,4.6,2,82.0,normale,"État satisfaisant, contrôle qualité OK",0,15,2,False,False,normal,pluvieux
2022-02-16 12:16:30,Centre Médical d'Excellence,AB-,56,5,24,75,4.0,9,100.0,normale,Parfait pour transfusion immédiate,2,12,2,False,False,normal,pluvieux
2022-02-17 00:44:07,Clinique des Spécialités,AB-,26,7,0,19,3.4,3,86.7,faible,"Excellent état, conservation parfaite",3,0,2,False,False,normal,nuageux
2022-02-20 06:17:22,Clinique des Spécialités,AB-,33,3,0,30,4.3,2,83.1,normale,"Bon état général, légère variation température",6,6,2,True,False,normal,pluvieux
2022-03-02 09:05:27,Centre Médical d'Excellence,AB-,51,7,0,44,4.2,1,63.8,attention,Attention: proche expiration,2,9,3,False,False,épidémie,nuageux
2022-03-15 18:53:59,Hôpital Général Douala,AB-,33,7,20,46,4.8,7,100.0,normale,Contrôle bactériologique négatif,1,18,3,False,False,normal,ensoleillé
2022-03-20 01:56:32,Centre Médical d'Excellence,AB-,16,5,0,11,4.0,1,52.6,faible,Parfait pour transfusion immédiate,6,1,3,True,False,normal,ensoleillé
2022-03-25 21:54:39,Hôpital Laquintinie,AB-,38,8,0,30,3.3,3,84.4,normale,Hémoglobine dans les normes,4,21,3,False,False,normal,orageux
