timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-03 01:52:44,Centre Médical d'Excellence,A+,17,6,18,29,4.6,10,100.0,normale,"État satisfaisant, contrôle qualité OK",0,1,1,False,True,normal,nuageux
2022-01-03 04:51:30,Centre Médical d'Excellence,O+,28,12,0,16,3.8,7,100.0,faible,Parfait pour transfusion immédiate,0,4,1,False,True,normal,nuageux
2022-01-03 17:51:28,Centre Médical d'Excellence,B+,27,10,21,38,3.6,11,98.3,normale,"Excellent état, conservation parfaite",0,17,1,False,True,normal,pluvieux
2022-01-03 18:05:47,Centre Médical d'Excellence,O+,69,5,0,64,5.2,15,100.0,normale,Attention: proche expiration,0,18,1,False,True,normal,ensoleillé
2022-01-04 04:52:25,Centre Médical d'Excellence,B+,23,4,24,43,3.9,1,69.4,attention,"Bon état général, légère variation température",1,4,1,False,True,normal,ensoleillé
2022-01-04 15:51:57,Centre Médical d'Excellence,O+,87,8,24,103,4.0,26,100.0,normale,Urgent: vérifier température stockage,1,15,1,False,True,normal,ensoleillé
2022-01-05 22:21:53,Centre Médical d'Excellence,O+,87,10,29,106,3.8,2,77.0,normale,"État satisfaisant, contrôle qualité OK",2,22,1,False,True,normal,nuageux
2022-01-05 22:53:32,Centre Médical d'Excellence,O-,35,11,0,24,4.5,6,100.0,normale,Parfait pour transfusion immédiate,2,22,1,False,True,normal,pluvieux
2022-01-06 03:23:04,Centre Médical d'Excellence,O+,25,7,0,18,3.6,1,57.2,faible,Urgent: vérifier température stockage,3,3,1,False,True,normal,ensoleillé
2022-01-06 03:28:27,Centre Médical d'Excellence,A+,17,8,0,9,4.0,17,88.6,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",3,3,1,False,True,normal,ensoleillé
2022-01-07 00:05:45,Centre Médical d'Excellence,A+,19,10,0,9,5.4,1,51.9,critique,URGENT: Stock critique - Attention: proche expiration,4,0,1,False,True,normal,pluvieux
2022-01-07 01:49:59,Centre Médical d'Excellence,A+,24,12,0,12,4.6,13,100.0,faible,"Excellent état, conservation parfaite",4,1,1,False,True,campagne_don,nuageux
2022-01-07 04:33:22,Centre Médical d'Excellence,B+,14,5,0,9,4.1,2,85.4,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",4,4,1,False,True,normal,ensoleillé
2022-01-07 12:56:03,Centre Médical d'Excellence,A+,83,7,0,76,3.8,19,97.2,normale,Parfait pour transfusion immédiate,4,12,1,False,True,normal,ensoleillé
2022-01-07 21:52:13,Centre Médical d'Excellence,O+,35,16,0,19,4.1,38,100.0,faible,Contrôle bactériologique négatif,4,21,1,False,True,campagne_don,pluvieux
2022-01-08 10:38:53,Centre Médical d'Excellence,A+,43,6,15,52,3.8,4,83.9,normale,Hémoglobine dans les normes,5,10,1,True,True,normal,nuageux
2022-01-08 12:18:18,Centre Médical d'Excellence,O+,51,3,19,67,3.1,44,97.3,normale,Contrôle bactériologique négatif,5,12,1,True,True,normal,nuageux
2022-01-09 05:11:16,Centre Médical d'Excellence,O+,21,7,0,14,4.3,1,52.4,faible,"Excellent état, conservation parfaite",6,5,1,True,True,normal,ensoleillé
2022-01-09 05:26:35,Centre Médical d'Excellence,B-,10,9,24,25,4.1,10,98.3,normale,"Excellent état, conservation parfaite",6,5,1,True,True,normal,ensoleillé
2022-01-09 07:39:22,Centre Médical d'Excellence,O+,22,5,23,40,3.1,1,65.7,attention,Contrôle bactériologique négatif,6,7,1,True,True,normal,ensoleillé
2022-01-09 18:35:46,Centre Médical d'Excellence,O+,47,6,20,61,3.8,26,100.0,normale,Hémoglobine dans les normes,6,18,1,True,True,normal,nuageux
2022-01-10 19:51:11,Centre Médical d'Excellence,A+,80,14,15,81,3.9,15,100.0,normale,Urgent: vérifier température stockage,0,19,1,False,True,normal,nuageux
2022-01-10 20:05:31,Centre Médical d'Excellence,A-,76,8,0,68,3.6,1,56.7,attention,Contrôle bactériologique négatif,0,20,1,False,True,normal,ensoleillé
2022-01-11 01:41:22,Centre Médical d'Excellence,A+,24,13,0,11,3.9,1,59.9,faible,Hémoglobine dans les normes,1,1,1,False,True,normal,orageux
2022-01-11 22:32:54,Centre Médical d'Excellence,AB+,53,10,11,54,3.5,23,97.4,normale,Parfait pour transfusion immédiate,1,22,1,False,True,normal,ensoleillé
2022-01-11 23:44:40,Centre Médical d'Excellence,O+,56,9,0,47,3.5,84,100.0,normale,Hémoglobine dans les normes,1,23,1,False,True,normal,pluvieux
2022-01-12 10:29:27,Centre Médical d'Excellence,O+,30,7,21,44,4.3,14,93.7,normale,"Bon état général, légère variation température",2,10,1,False,True,normal,nuageux
2022-01-12 22:05:59,Centre Médical d'Excellence,O+,54,10,13,57,4.0,41,96.6,normale,"Bon état général, légère variation température",2,22,1,False,True,normal,orageux
2022-01-13 14:21:39,Centre Médical d'Excellence,O+,83,8,14,89,3.4,17,91.8,normale,"Bon état général, légère variation température",3,14,1,False,True,normal,ensoleillé
2022-01-14 17:23:59,Centre Médical d'Excellence,O+,34,2,0,32,4.5,71,100.0,normale,Parfait pour transfusion immédiate,4,17,1,False,True,normal,nuageux
2022-01-15 10:47:27,Centre Médical d'Excellence,A+,61,5,18,74,3.7,2,78.0,normale,Urgent: vérifier température stockage,5,10,1,True,True,normal,orageux
2022-01-15 13:22:03,Centre Médical d'Excellence,O+,45,6,0,39,3.8,40,100.0,normale,Hémoglobine dans les normes,5,13,1,True,True,urgence_médicale,ensoleillé
2022-01-15 19:21:36,Centre Médical d'Excellence,A+,48,6,0,42,3.1,10,96.8,normale,Urgent: vérifier température stockage,5,19,1,True,True,normal,pluvieux
2022-01-15 20:30:39,Centre Médical d'Excellence,O+,33,6,0,27,3.7,1,57.9,attention,"État satisfaisant, contrôle qualité OK",5,20,1,True,True,normal,ensoleillé
2022-01-17 04:47:39,Centre Médical d'Excellence,O+,37,12,0,25,3.5,11,100.0,normale,Contrôle bactériologique négatif,0,4,1,False,True,normal,ensoleillé
2022-01-19 15:08:46,Centre Médical d'Excellence,A+,80,6,0,74,3.3,31,100.0,normale,"Bon état général, légère variation température",2,15,1,False,True,normal,ensoleillé
2022-01-19 23:06:00,Centre Médical d'Excellence,A+,29,6,0,23,4.0,10,100.0,normale,Hémoglobine dans les normes,2,23,1,False,True,normal,ensoleillé
2022-01-19 23:19:20,Centre Médical d'Excellence,A+,39,11,0,28,4.7,50,97.2,normale,"Bon état général, légère variation température",2,23,1,False,True,normal,nuageux
2022-01-21 18:38:07,Centre Médical d'Excellence,B-,59,13,0,46,3.8,7,96.7,normale,"Excellent état, conservation parfaite",4,18,1,False,True,normal,ensoleillé
2022-01-22 01:13:07,Centre Médical d'Excellence,O+,21,4,0,17,3.2,9,96.8,faible,Urgent: vérifier température stockage,5,1,1,True,True,normal,ensoleillé
2022-01-23 09:10:24,Centre Médical d'Excellence,O-,45,8,21,58,3.8,1,53.6,attention,Hémoglobine dans les normes,6,9,1,True,True,normal,orageux
2022-01-23 11:36:57,Centre Médical d'Excellence,A+,40,3,0,37,4.0,29,100.0,normale,"État satisfaisant, contrôle qualité OK",6,11,1,True,True,normal,pluvieux
2022-01-23 21:36:33,Centre Médical d'Excellence,A+,18,6,0,12,4.2,1,55.3,faible,Urgent: vérifier température stockage,6,21,1,True,True,normal,pluvieux
2022-01-25 05:30:09,Centre Médical d'Excellence,A-,26,8,0,18,3.6,9,96.0,faible,Parfait pour transfusion immédiate,1,5,1,False,True,normal,pluvieux
2022-01-25 22:17:11,Centre Médical d'Excellence,O+,57,6,22,73,3.6,37,92.2,normale,Contrôle bactériologique négatif,1,22,1,False,True,normal,ensoleillé
2022-01-26 00:49:05,Centre Médical d'Excellence,O-,16,16,0,0,4.3,21,100.0,critique,URGENT: Stock critique - Parfait pour transfusion immédiate,2,0,1,False,True,normal,pluvieux
2022-01-26 04:34:40,Centre Médical d'Excellence,O+,21,11,0,10,4.1,4,90.3,faible,Attention: proche expiration,2,4,1,False,True,normal,orageux
2022-01-26 07:00:42,Centre Médical d'Excellence,B+,72,0,16,88,3.5,1,56.3,attention,Urgent: vérifier température stockage,2,7,1,False,True,normal,nuageux
2022-01-26 09:52:32,Centre Médical d'Excellence,A+,31,12,0,19,4.5,1,64.0,faible,Parfait pour transfusion immédiate,2,9,1,False,True,normal,orageux
2022-01-26 16:29:20,Centre Médical d'Excellence,O-,16,9,0,7,4.2,19,97.3,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",2,16,1,False,True,normal,pluvieux
2022-01-27 01:54:25,Centre Médical d'Excellence,A+,23,12,0,11,4.9,6,96.7,faible,Parfait pour transfusion immédiate,3,1,1,False,True,normal,ensoleillé
2022-01-27 02:31:25,Centre Médical d'Excellence,A+,34,9,22,47,3.4,8,100.0,normale,Parfait pour transfusion immédiate,3,2,1,False,True,normal,pluvieux
2022-01-28 14:51:13,Centre Médical d'Excellence,AB+,56,7,28,77,3.1,6,100.0,normale,Attention: proche expiration,4,14,1,False,True,normal,ensoleillé
2022-01-29 09:23:19,Centre Médical d'Excellence,A+,28,8,0,20,4.1,2,93.7,normale,Parfait pour transfusion immédiate,5,9,1,True,True,accident_route,ensoleillé
2022-01-29 12:05:02,Centre Médical d'Excellence,A+,43,7,21,57,4.7,17,88.3,normale,"État satisfaisant, contrôle qualité OK",5,12,1,True,True,normal,pluvieux
2022-01-29 17:47:58,Centre Médical d'Excellence,A+,57,7,0,50,4.2,9,100.0,normale,Parfait pour transfusion immédiate,5,17,1,True,True,normal,nuageux
2022-01-30 01:05:38,Centre Médical d'Excellence,A+,21,6,24,39,4.4,12,100.0,normale,Parfait pour transfusion immédiate,6,1,1,True,True,normal,pluvieux
2022-01-30 05:18:36,Centre Médical d'Excellence,O+,21,6,0,15,3.3,4,90.5,faible,Contrôle bactériologique négatif,6,5,1,True,True,normal,ensoleillé
2022-01-30 09:51:19,Centre Médical d'Excellence,A+,40,5,0,35,4.6,12,97.0,normale,"Bon état général, légère variation température",6,9,1,True,True,normal,ensoleillé
2022-01-30 17:09:57,Centre Médical d'Excellence,A+,50,7,28,71,3.3,81,100.0,normale,Attention: proche expiration,6,17,1,True,True,normal,ensoleillé
2022-01-31 23:52:38,Centre Médical d'Excellence,A-,21,11,0,10,3.4,4,86.5,faible,Contrôle bactériologique négatif,0,23,1,False,True,normal,nuageux
2022-02-01 23:41:34,Centre Médical d'Excellence,A+,29,4,19,44,3.9,17,100.0,normale,Hémoglobine dans les normes,1,23,2,False,False,normal,pluvieux
2022-02-02 10:42:28,Centre Médical d'Excellence,A-,62,11,0,51,5.0,34,100.0,normale,Parfait pour transfusion immédiate,2,10,2,False,False,normal,ensoleillé
2022-02-02 11:41:53,Centre Médical d'Excellence,A-,57,9,0,48,4.1,9,95.4,normale,Hémoglobine dans les normes,2,11,2,False,False,normal,ensoleillé
2022-02-03 01:13:20,Centre Médical d'Excellence,O+,25,3,0,22,4.2,40,98.7,normale,Parfait pour transfusion immédiate,3,1,2,False,False,normal,orageux
2022-02-03 16:22:58,Centre Médical d'Excellence,A+,44,6,0,38,3.7,1,59.5,attention,Hémoglobine dans les normes,3,16,2,False,False,normal,orageux
2022-02-03 18:33:48,Centre Médical d'Excellence,A+,46,10,21,57,4.6,24,98.7,normale,Urgent: vérifier température stockage,3,18,2,False,False,normal,pluvieux
2022-02-04 11:25:29,Centre Médical d'Excellence,O-,74,13,20,81,4.1,6,96.0,normale,Parfait pour transfusion immédiate,4,11,2,False,False,normal,ensoleillé
2022-02-04 16:57:08,Centre Médical d'Excellence,O+,51,8,22,65,3.9,1,61.3,attention,Contrôle bactériologique négatif,4,16,2,False,False,normal,ensoleillé
2022-02-05 13:48:19,Centre Médical d'Excellence,B+,37,3,0,34,4.0,1,61.7,attention,"Excellent état, conservation parfaite",5,13,2,True,False,normal,ensoleillé
2022-02-05 21:29:10,Centre Médical d'Excellence,B+,62,6,0,56,4.1,9,100.0,normale,Contrôle bactériologique négatif,5,21,2,True,False,normal,pluvieux
2022-02-06 11:46:06,Centre Médical d'Excellence,A+,46,9,0,37,4.7,11,100.0,normale,Parfait pour transfusion immédiate,6,11,2,True,False,normal,pluvieux
2022-02-07 02:06:51,Centre Médical d'Excellence,O-,21,10,0,11,3.2,6,100.0,faible,Attention: proche expiration,0,2,2,False,False,normal,pluvieux
2022-02-08 00:30:20,Centre Médical d'Excellence,O+,29,10,0,19,3.9,2,97.2,faible,"État satisfaisant, contrôle qualité OK",1,0,2,False,False,normal,ensoleillé
2022-02-09 07:57:18,Centre Médical d'Excellence,A-,55,9,0,46,3.9,32,95.4,normale,Contrôle bactériologique négatif,2,7,2,False,False,normal,pluvieux
2022-02-09 10:57:36,Centre Médical d'Excellence,AB-,49,8,0,41,3.3,11,93.7,normale,Contrôle bactériologique négatif,2,10,2,False,False,normal,nuageux
2022-02-10 00:42:44,Centre Médical d'Excellence,A-,35,10,0,25,3.9,24,97.7,normale,Urgent: vérifier température stockage,3,0,2,False,False,normal,nuageux
2022-02-11 01:14:25,Centre Médical d'Excellence,A-,21,9,0,12,4.7,2,84.3,faible,Parfait pour transfusion immédiate,4,1,2,False,False,normal,pluvieux
2022-02-11 16:36:39,Centre Médical d'Excellence,O+,67,6,0,61,4.1,20,100.0,normale,Attention: proche expiration,4,16,2,False,False,accident_route,pluvieux
2022-02-12 08:49:24,Centre Médical d'Excellence,O+,27,4,0,23,4.8,1,60.1,attention,Hémoglobine dans les normes,5,8,2,True,False,normal,ensoleillé
2022-02-13 00:58:13,Centre Médical d'Excellence,B+,20,2,0,18,4.0,9,98.8,faible,Urgent: vérifier température stockage,6,0,2,True,False,normal,orageux
2022-02-13 10:12:46,Centre Médical d'Excellence,O+,36,6,0,30,4.3,4,84.1,normale,Attention: proche expiration,6,10,2,True,False,normal,nuageux
2022-02-13 12:48:11,Centre Médical d'Excellence,A+,52,7,0,45,4.8,7,96.6,normale,"Bon état général, légère variation température",6,12,2,True,False,normal,pluvieux
2022-02-14 18:11:16,Centre Médical d'Excellence,A-,37,2,24,59,4.2,6,100.0,normale,Hémoglobine dans les normes,0,18,2,False,False,normal,pluvieux
2022-02-15 12:13:10,Centre Médical d'Excellence,A+,47,11,0,36,3.8,45,98.3,normale,Contrôle bactériologique négatif,1,12,2,False,False,normal,pluvieux
2022-02-16 07:59:19,Centre Médical d'Excellence,O+,43,8,22,57,4.9,9,100.0,normale,Hémoglobine dans les normes,2,7,2,False,False,normal,ensoleillé
2022-02-16 12:16:30,Centre Médical d'Excellence,AB-,56,5,24,75,4.0,9,100.0,normale,Parfait pour transfusion immédiate,2,12,2,False,False,normal,pluvieux
2022-02-16 23:13:16,Centre Médical d'Excellence,O+,27,3,15,39,3.9,6,100.0,normale,"État satisfaisant, contrôle qualité OK",2,23,2,False,False,normal,ensoleillé
2022-02-17 05:52:03,Centre Médical d'Excellence,O+,17,9,0,8,3.6,2,83.3,critique,URGENT: Stock critique - Parfait pour transfusion immédiate,3,5,2,False,False,normal,pluvieux
2022-02-17 08:19:53,Centre Médical d'Excellence,O+,32,9,0,23,4.9,22,100.0,normale,Parfait pour transfusion immédiate,3,8,2,False,False,normal,pluvieux
2022-02-17 08:19:57,Centre Médical d'Excellence,O+,59,9,0,50,4.4,5,93.2,normale,Attention: proche expiration,3,8,2,False,False,normal,orageux
2022-02-17 18:06:42,Centre Médical d'Excellence,O+,57,7,0,50,4.1,35,96.3,normale,"État satisfaisant, contrôle qualité OK",3,18,2,False,False,normal,pluvieux
2022-02-17 21:35:48,Centre Médical d'Excellence,A+,41,7,14,48,4.7,2,83.2,normale,Contrôle bactériologique négatif,3,21,2,False,False,normal,ensoleillé
