timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-02 05:28:13,Hôpital Général Douala,O-,25,3,24,46,3.6,15,100.0,normale,"Bon état général, légère variation température",6,5,1,True,True,normal,orageux
2022-01-03 21:02:34,Hôpital Général Douala,O+,60,11,0,49,4.5,4,81.9,normale,Attention: proche expiration,0,21,1,False,True,normal,pluvieux
2022-01-04 04:36:48,Hôpital Général Douala,AB-,38,14,0,24,4.2,14,100.0,normale,Contrôle bactériologique négatif,1,4,1,False,True,normal,pluvieux
2022-01-04 08:41:49,Hôpital Général Douala,A-,61,18,0,43,4.2,2,89.5,normale,Contrôle bactériologique négatif,1,8,1,False,True,normal,pluvieux
2022-01-04 10:57:17,Hôpital Général Douala,A-,48,17,27,58,3.8,5,100.0,normale,Attention: proche expiration,1,10,1,False,True,normal,orageux
2022-01-04 22:39:10,Hôpital Général Douala,O+,73,12,24,85,3.7,11,100.0,normale,Urgent: vérifier température stockage,1,22,1,False,True,normal,nuageux
2022-01-05 01:53:21,Hôpital Général Douala,A+,40,7,24,57,3.0,35,100.0,normale,"État satisfaisant, contrôle qualité OK",2,1,1,False,True,normal,pluvieux
2022-01-05 09:13:58,Hôpital Général Douala,O+,52,16,22,58,3.9,14,100.0,normale,"Excellent état, conservation parfaite",2,9,1,False,True,normal,pluvieux
2022-01-05 11:11:52,Hôpital Général Douala,A+,57,4,0,53,4.5,1,50.9,attention,Attention: proche expiration,2,11,1,False,True,normal,pluvieux
2022-01-05 13:57:50,Hôpital Général Douala,O+,73,14,19,78,4.0,24,98.6,normale,Contrôle bactériologique négatif,2,13,1,False,True,normal,ensoleillé
2022-01-06 12:36:57,Hôpital Général Douala,B+,75,6,27,96,3.5,8,100.0,normale,"Excellent état, conservation parfaite",3,12,1,False,True,normal,ensoleillé
2022-01-06 14:39:54,Hôpital Général Douala,A-,60,10,0,50,3.8,2,83.8,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,ensoleillé
2022-01-06 16:58:07,Hôpital Général Douala,A+,14,12,0,2,4.2,30,99.6,critique,URGENT: Stock critique - Attention: proche expiration,3,16,1,False,True,normal,nuageux
2022-01-07 07:21:13,Hôpital Général Douala,A-,55,13,25,67,3.7,5,88.8,normale,"Bon état général, légère variation température",4,7,1,False,True,normal,ensoleillé
2022-01-07 13:46:31,Hôpital Général Douala,O+,84,13,0,71,3.2,6,100.0,normale,Hémoglobine dans les normes,4,13,1,False,True,normal,orageux
2022-01-07 22:27:52,Hôpital Général Douala,B+,105,11,0,94,3.7,6,99.3,normale,"État satisfaisant, contrôle qualité OK",4,22,1,False,True,normal,pluvieux
2022-01-08 02:24:33,Hôpital Général Douala,O+,11,6,19,24,4.0,8,93.4,normale,Attention: proche expiration,5,2,1,True,True,normal,ensoleillé
2022-01-08 05:26:57,Hôpital Général Douala,A+,16,8,27,35,5.3,1,54.5,attention,Contrôle bactériologique négatif,5,5,1,True,True,normal,orageux
2022-01-08 12:15:22,Hôpital Général Douala,A+,20,11,0,9,3.4,7,95.9,critique,URGENT: Stock critique - Parfait pour transfusion immédiate,5,12,1,True,True,normal,ensoleillé
2022-01-08 13:15:12,Hôpital Général Douala,O+,54,6,24,72,5.1,4,88.4,normale,Parfait pour transfusion immédiate,5,13,1,True,True,accident_route,ensoleillé
2022-01-09 20:25:47,Hôpital Général Douala,A+,47,1,24,70,4.4,14,100.0,normale,Urgent: vérifier température stockage,6,20,1,True,True,normal,pluvieux
2022-01-10 04:20:25,Hôpital Général Douala,A+,34,7,0,27,3.8,52,99.2,normale,"Excellent état, conservation parfaite",0,4,1,False,True,normal,ensoleillé
2022-01-10 11:15:10,Hôpital Général Douala,O+,30,11,22,41,4.2,27,100.0,normale,"Excellent état, conservation parfaite",0,11,1,False,True,normal,ensoleillé
2022-01-10 14:02:44,Hôpital Général Douala,O+,86,10,0,76,4.1,11,98.0,normale,Hémoglobine dans les normes,0,14,1,False,True,normal,pluvieux
2022-01-10 14:28:40,Hôpital Général Douala,A+,53,10,21,64,3.8,30,100.0,normale,"État satisfaisant, contrôle qualité OK",0,14,1,False,True,campagne_don,ensoleillé
2022-01-10 21:39:57,Hôpital Général Douala,O+,77,8,0,69,4.3,3,84.9,normale,"Bon état général, légère variation température",0,21,1,False,True,normal,nuageux
2022-01-11 00:25:47,Hôpital Général Douala,O+,17,8,0,9,3.6,13,99.9,critique,URGENT: Stock critique - Hémoglobine dans les normes,1,0,1,False,True,normal,ensoleillé
2022-01-12 15:53:09,Hôpital Général Douala,O-,74,5,0,69,4.6,2,81.5,normale,Hémoglobine dans les normes,2,15,1,False,True,normal,ensoleillé
2022-01-12 20:24:20,Hôpital Général Douala,B+,71,4,0,67,3.6,2,87.6,normale,Urgent: vérifier température stockage,2,20,1,False,True,normal,orageux
2022-01-13 03:22:13,Hôpital Général Douala,A+,31,11,0,20,3.9,10,100.0,normale,Hémoglobine dans les normes,3,3,1,False,True,normal,pluvieux
2022-01-13 03:53:16,Hôpital Général Douala,O-,32,7,0,25,4.5,2,84.2,normale,Urgent: vérifier température stockage,3,3,1,False,True,normal,ensoleillé
2022-01-13 08:57:35,Hôpital Général Douala,O+,29,6,0,23,4.5,21,100.0,normale,"Bon état général, légère variation température",3,8,1,False,True,normal,nuageux
2022-01-13 20:44:59,Hôpital Général Douala,A+,77,7,0,70,3.0,14,100.0,normale,Hémoglobine dans les normes,3,20,1,False,True,normal,ensoleillé
2022-01-14 02:52:13,Hôpital Général Douala,O+,27,11,16,32,4.6,34,98.5,normale,Contrôle bactériologique négatif,4,2,1,False,True,normal,pluvieux
2022-01-14 19:14:26,Hôpital Général Douala,A+,65,7,0,58,3.2,1,62.8,attention,"Excellent état, conservation parfaite",4,19,1,False,True,normal,ensoleillé
2022-01-15 03:50:30,Hôpital Général Douala,A+,17,8,0,9,4.5,15,100.0,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,3,1,True,True,normal,pluvieux
2022-01-15 06:47:12,Hôpital Général Douala,B+,43,5,0,38,3.5,11,100.0,normale,"État satisfaisant, contrôle qualité OK",5,6,1,True,True,normal,pluvieux
2022-01-15 12:56:12,Hôpital Général Douala,A+,28,4,0,24,3.6,41,98.8,normale,"État satisfaisant, contrôle qualité OK",5,12,1,True,True,normal,ensoleillé
2022-01-15 17:01:05,Hôpital Général Douala,O+,39,7,0,32,5.2,21,98.5,normale,Contrôle bactériologique négatif,5,17,1,True,True,normal,nuageux
2022-01-16 01:19:50,Hôpital Général Douala,A+,22,5,11,28,3.2,14,100.0,normale,Urgent: vérifier température stockage,6,1,1,True,True,normal,pluvieux
2022-01-16 07:27:29,Hôpital Général Douala,A+,26,6,18,38,2.8,7,97.8,normale,"Bon état général, légère variation température",6,7,1,True,True,normal,pluvieux
2022-01-16 14:16:51,Hôpital Général Douala,O+,32,8,0,24,4.3,7,100.0,normale,Attention: proche expiration,6,14,1,True,True,normal,nuageux
2022-01-16 19:54:39,Hôpital Général Douala,A+,49,6,16,59,3.1,14,90.3,normale,Contrôle bactériologique négatif,6,19,1,True,True,normal,orageux
2022-01-17 02:43:23,Hôpital Général Douala,A+,32,10,0,22,4.4,9,95.9,normale,Contrôle bactériologique négatif,0,2,1,False,True,normal,ensoleillé
2022-01-17 21:49:50,Hôpital Général Douala,A+,45,2,0,43,4.3,13,100.0,normale,Parfait pour transfusion immédiate,0,21,1,False,True,normal,pluvieux
2022-01-17 22:23:05,Hôpital Général Douala,A-,90,6,0,84,4.6,1,57.1,attention,Contrôle bactériologique négatif,0,22,1,False,True,normal,ensoleillé
2022-01-18 00:29:09,Hôpital Général Douala,O+,49,8,11,52,4.9,13,100.0,normale,Urgent: vérifier température stockage,1,0,1,False,True,normal,ensoleillé
2022-01-18 00:29:34,Hôpital Général Douala,O+,24,12,0,12,4.0,1,66.6,faible,"Bon état général, légère variation température",1,0,1,False,True,normal,ensoleillé
2022-01-18 06:31:02,Hôpital Général Douala,O+,81,2,0,79,3.4,6,100.0,normale,Urgent: vérifier température stockage,1,6,1,False,True,normal,nuageux
2022-01-18 11:03:44,Hôpital Général Douala,A+,56,14,20,62,4.1,10,98.1,normale,Parfait pour transfusion immédiate,1,11,1,False,True,normal,ensoleillé
2022-01-18 12:20:14,Hôpital Général Douala,B+,76,12,0,64,4.2,2,79.5,normale,Contrôle bactériologique négatif,1,12,1,False,True,normal,ensoleillé
2022-01-20 04:32:53,Hôpital Général Douala,O+,36,8,20,48,4.5,5,100.0,normale,Attention: proche expiration,3,4,1,False,True,normal,ensoleillé
2022-01-20 06:13:24,Hôpital Général Douala,O+,56,5,0,51,3.6,32,100.0,normale,Parfait pour transfusion immédiate,3,6,1,False,True,normal,ensoleillé
2022-01-20 08:38:22,Hôpital Général Douala,O+,38,8,0,30,4.0,11,98.7,normale,"État satisfaisant, contrôle qualité OK",3,8,1,False,True,normal,nuageux
2022-01-20 10:29:35,Hôpital Général Douala,A+,49,8,0,41,3.7,20,89.9,normale,Urgent: vérifier température stockage,3,10,1,False,True,normal,nuageux
2022-01-21 03:03:34,Hôpital Général Douala,O+,33,7,20,46,3.1,13,98.5,normale,Attention: proche expiration,4,3,1,False,True,normal,nuageux
2022-01-21 06:15:00,Hôpital Général Douala,O+,73,7,20,86,4.2,1,65.8,attention,Parfait pour transfusion immédiate,4,6,1,False,True,normal,nuageux
2022-01-21 09:33:26,Hôpital Général Douala,O+,41,12,20,49,3.9,15,88.0,normale,"Bon état général, légère variation température",4,9,1,False,True,normal,pluvieux
2022-01-21 14:39:58,Hôpital Général Douala,O+,43,7,0,36,3.9,1,60.0,attention,Attention: proche expiration,4,14,1,False,True,normal,ensoleillé
2022-01-21 21:26:57,Hôpital Général Douala,B+,44,8,0,36,4.8,1,57.5,attention,Hémoglobine dans les normes,4,21,1,False,True,normal,pluvieux
2022-01-22 04:52:23,Hôpital Général Douala,O+,8,8,23,23,4.2,8,100.0,normale,"Bon état général, légère variation température",5,4,1,True,True,normal,ensoleillé
2022-01-23 00:55:12,Hôpital Général Douala,A+,20,7,0,13,4.1,26,100.0,faible,"État satisfaisant, contrôle qualité OK",6,0,1,True,True,normal,pluvieux
2022-01-23 04:36:27,Hôpital Général Douala,O+,30,7,0,23,3.9,5,100.0,normale,"État satisfaisant, contrôle qualité OK",6,4,1,True,True,normal,orageux
2022-01-23 17:25:46,Hôpital Général Douala,O+,39,6,12,45,3.5,4,81.2,normale,Contrôle bactériologique négatif,6,17,1,True,True,normal,pluvieux
2022-01-23 18:15:21,Hôpital Général Douala,O+,40,8,0,32,3.9,9,100.0,normale,Hémoglobine dans les normes,6,18,1,True,True,normal,ensoleillé
2022-01-23 21:17:02,Hôpital Général Douala,A+,42,9,0,33,5.1,14,93.5,normale,"Bon état général, légère variation température",6,21,1,True,True,normal,pluvieux
2022-01-24 12:09:51,Hôpital Général Douala,A-,58,16,0,42,4.8,18,93.4,normale,"Excellent état, conservation parfaite",0,12,1,False,True,normal,orageux
2022-01-25 01:45:18,Hôpital Général Douala,O+,39,4,0,35,4.8,3,81.2,normale,Parfait pour transfusion immédiate,1,1,1,False,True,normal,ensoleillé
