timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 01:43:17,Hôpital de District Bonassama,A-,13,7,0,6,4.1,18,100.0,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,1,1,True,True,normal,ensoleillé
2022-01-02 16:57:14,Hôpital de District Bonassama,A-,37,8,0,29,4.5,12,100.0,normale,Parfait pour transfusion immédiate,6,16,1,True,True,normal,nuageux
2022-01-03 13:39:13,Hôpital de District Bonassama,A-,76,7,27,96,4.7,15,100.0,normale,Contrôle bactériologique négatif,0,13,1,False,True,normal,ensoleillé
2022-01-04 08:41:49,Hôpital Général Douala,A-,61,18,0,43,4.2,2,89.5,normale,Contrôle bactériologique négatif,1,8,1,False,True,normal,pluvieux
2022-01-04 10:57:17,Hôpital Général Douala,A-,48,17,27,58,3.8,5,100.0,normale,Attention: proche expiration,1,10,1,False,True,normal,orageux
2022-01-06 02:31:48,Hôpital Laquintinie,A-,38,10,0,28,4.0,4,89.0,normale,Urgent: vérifier température stockage,3,2,1,False,True,normal,ensoleillé
2022-01-06 14:39:54,Hôpital Général Douala,A-,60,10,0,50,3.8,2,83.8,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,ensoleillé
2022-01-07 07:21:13,Hôpital Général Douala,A-,55,13,25,67,3.7,5,88.8,normale,"Bon état général, légère variation température",4,7,1,False,True,normal,ensoleillé
2022-01-10 20:05:31,Centre Médical d'Excellence,A-,76,8,0,68,3.6,1,56.7,attention,Contrôle bactériologique négatif,0,20,1,False,True,normal,ensoleillé
2022-01-11 03:56:33,Hôpital Laquintinie,A-,52,7,0,45,4.5,29,94.5,normale,"Excellent état, conservation parfaite",1,3,1,False,True,normal,pluvieux
2022-01-12 06:22:17,Clinique des Spécialités,A-,31,16,0,15,3.9,31,100.0,faible,"État satisfaisant, contrôle qualité OK",2,6,1,False,True,normal,orageux
2022-01-13 14:46:37,Hôpital Laquintinie,A-,32,8,0,24,3.4,1,57.0,attention,Attention: proche expiration,3,14,1,False,True,normal,pluvieux
2022-01-14 07:33:40,Hôpital de District Bonassama,A-,73,7,0,66,4.4,8,97.2,normale,Attention: proche expiration,4,7,1,False,True,normal,pluvieux
2022-01-16 03:04:22,Hôpital Militaire,A-,28,5,0,23,4.4,1,63.8,attention,"Bon état général, légère variation température",6,3,1,True,True,normal,pluvieux
2022-01-16 13:48:10,Hôpital Militaire,A-,50,9,0,41,3.8,1,57.8,attention,Attention: proche expiration,6,13,1,True,True,normal,nuageux
2022-01-17 22:23:05,Hôpital Général Douala,A-,90,6,0,84,4.6,1,57.1,attention,Contrôle bactériologique négatif,0,22,1,False,True,normal,ensoleillé
2022-01-18 16:03:20,Hôpital Laquintinie,A-,64,9,0,55,4.4,1,60.5,attention,Hémoglobine dans les normes,1,16,1,False,True,normal,orageux
2022-01-24 12:09:51,Hôpital Général Douala,A-,58,16,0,42,4.8,18,93.4,normale,"Excellent état, conservation parfaite",0,12,1,False,True,normal,orageux
2022-01-25 05:30:09,Centre Médical d'Excellence,A-,26,8,0,18,3.6,9,96.0,faible,Parfait pour transfusion immédiate,1,5,1,False,True,normal,pluvieux
2022-01-25 12:31:01,Hôpital de District Bonassama,A-,38,12,0,26,4.3,5,98.8,normale,Attention: proche expiration,1,12,1,False,True,normal,ensoleillé
2022-01-26 16:51:07,Hôpital Général Douala,A-,58,11,16,63,4.1,51,100.0,normale,"Excellent état, conservation parfaite",2,16,1,False,True,normal,ensoleillé
2022-01-28 00:41:59,Hôpital de District Bonassama,A-,26,11,13,28,3.6,20,99.3,normale,Parfait pour transfusion immédiate,4,0,1,False,True,normal,ensoleillé
2022-01-29 15:26:58,Hôpital Laquintinie,A-,40,7,0,33,2.7,1,61.3,attention,Hémoglobine dans les normes,5,15,1,True,True,normal,ensoleillé
