timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 01:43:17,Hôpital de District Bonassama,A-,13,7,0,6,4.1,18,100.0,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,1,1,True,True,normal,ensoleillé
2022-01-01 10:39:39,Hôpital de District Bonassama,AB-,44,8,0,36,3.5,4,77.1,normale,Hémoglobine dans les normes,5,10,1,True,True,normal,orageux
2022-01-01 13:25:06,Hôpital de District Bonassama,A+,56,4,20,72,4.5,12,100.0,normale,"Excellent état, conservation parfaite",5,13,1,True,True,normal,nuageux
2022-01-01 20:15:00,Hôpital de District Bonassama,B+,32,8,0,24,3.9,2,82.9,normale,Urgent: vérifier température stockage,5,20,1,True,True,normal,ensoleillé
2022-01-02 01:25:12,Hôpital de District Bonassama,O-,22,1,0,21,3.5,53,100.0,normale,Attention: proche expiration,6,1,1,True,True,normal,ensoleillé
2022-01-02 03:15:15,Hôpital de District Bonassama,O-,20,2,17,35,4.1,10,97.8,normale,"État satisfaisant, contrôle qualité OK",6,3,1,True,True,normal,ensoleillé
2022-01-02 09:30:55,Hôpital de District Bonassama,A+,63,8,0,55,4.0,3,83.2,normale,"Bon état général, légère variation température",6,9,1,True,True,normal,pluvieux
2022-01-02 16:57:14,Hôpital de District Bonassama,A-,37,8,0,29,4.5,12,100.0,normale,Parfait pour transfusion immédiate,6,16,1,True,True,normal,nuageux
2022-01-03 12:29:49,Hôpital de District Bonassama,O+,64,6,20,78,4.4,18,100.0,normale,Parfait pour transfusion immédiate,0,12,1,False,True,normal,pluvieux
2022-01-03 13:39:13,Hôpital de District Bonassama,A-,76,7,27,96,4.7,15,100.0,normale,Contrôle bactériologique négatif,0,13,1,False,True,normal,ensoleillé
2022-01-03 16:44:48,Hôpital de District Bonassama,O+,64,10,18,72,4.1,1,55.7,attention,Contrôle bactériologique négatif,0,16,1,False,True,normal,pluvieux
2022-01-03 23:07:38,Hôpital de District Bonassama,B+,23,15,0,8,3.8,4,83.4,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",0,23,1,False,True,normal,ensoleillé
2022-01-04 08:03:05,Hôpital de District Bonassama,B-,36,9,19,46,4.8,1,66.6,attention,"Bon état général, légère variation température",1,8,1,False,True,normal,pluvieux
2022-01-04 14:42:33,Hôpital de District Bonassama,O+,48,12,0,36,4.3,24,96.4,normale,Contrôle bactériologique négatif,1,14,1,False,True,normal,ensoleillé
2022-01-05 00:50:45,Hôpital de District Bonassama,A+,26,10,0,16,4.3,1,64.4,faible,Hémoglobine dans les normes,2,0,1,False,True,normal,pluvieux
2022-01-05 02:37:28,Hôpital de District Bonassama,A+,27,9,0,18,3.7,1,59.8,faible,Contrôle bactériologique négatif,2,2,1,False,True,normal,ensoleillé
2022-01-05 17:49:12,Hôpital de District Bonassama,O-,65,5,0,60,4.2,27,99.6,normale,Parfait pour transfusion immédiate,2,17,1,False,True,normal,nuageux
2022-01-06 02:27:06,Hôpital de District Bonassama,A+,14,14,19,19,4.1,22,89.1,faible,"Excellent état, conservation parfaite",3,2,1,False,True,normal,ensoleillé
2022-01-06 03:15:47,Hôpital de District Bonassama,A+,20,11,0,9,4.4,9,98.5,critique,URGENT: Stock critique - Urgent: vérifier température stockage,3,3,1,False,True,normal,pluvieux
2022-01-06 06:09:10,Hôpital de District Bonassama,A+,69,13,0,56,4.4,20,96.9,normale,Hémoglobine dans les normes,3,6,1,False,True,normal,ensoleillé
2022-01-06 14:06:24,Hôpital de District Bonassama,A+,63,12,22,73,3.6,11,100.0,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,ensoleillé
2022-01-06 18:30:18,Hôpital de District Bonassama,O+,46,7,21,60,4.5,3,81.2,normale,"État satisfaisant, contrôle qualité OK",3,18,1,False,True,normal,ensoleillé
2022-01-07 08:56:07,Hôpital de District Bonassama,O+,44,10,29,63,3.6,23,98.0,normale,"Bon état général, légère variation température",4,8,1,False,True,normal,ensoleillé
2022-01-07 13:58:50,Hôpital de District Bonassama,A+,63,12,0,51,3.6,44,88.4,normale,"État satisfaisant, contrôle qualité OK",4,13,1,False,True,normal,orageux
2022-01-07 20:06:46,Hôpital de District Bonassama,O-,92,11,0,81,4.1,2,87.2,normale,"Bon état général, légère variation température",4,20,1,False,True,normal,ensoleillé
2022-01-08 05:07:16,Hôpital de District Bonassama,A+,15,6,0,9,4.0,13,100.0,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",5,5,1,True,True,normal,pluvieux
2022-01-08 23:29:28,Hôpital de District Bonassama,A+,20,8,0,12,4.2,1,48.2,faible,"Bon état général, légère variation température",5,23,1,True,True,normal,pluvieux
2022-01-09 15:51:17,Hôpital de District Bonassama,O+,36,8,20,48,4.4,1,60.7,attention,"Bon état général, légère variation température",6,15,1,True,True,normal,pluvieux
2022-01-09 21:09:08,Hôpital de District Bonassama,A+,50,6,0,44,4.6,7,96.6,normale,Hémoglobine dans les normes,6,21,1,True,True,normal,pluvieux
2022-01-09 22:01:18,Hôpital de District Bonassama,A+,38,4,0,34,3.5,3,79.7,normale,"État satisfaisant, contrôle qualité OK",6,22,1,True,True,normal,nuageux
2022-01-10 06:53:35,Hôpital de District Bonassama,A+,53,11,0,42,4.3,12,100.0,normale,Parfait pour transfusion immédiate,0,6,1,False,True,normal,pluvieux
2022-01-10 08:56:43,Hôpital de District Bonassama,A+,72,5,20,87,4.6,6,100.0,normale,"État satisfaisant, contrôle qualité OK",0,8,1,False,True,normal,orageux
2022-01-11 16:00:25,Hôpital de District Bonassama,A+,103,9,0,94,4.3,1,68.9,attention,Contrôle bactériologique négatif,1,16,1,False,True,normal,ensoleillé
2022-01-12 16:52:56,Hôpital de District Bonassama,O-,31,8,12,35,3.0,26,100.0,normale,"Excellent état, conservation parfaite",2,16,1,False,True,normal,pluvieux
2022-01-12 21:50:27,Hôpital de District Bonassama,A+,75,14,0,61,4.6,24,99.6,normale,"État satisfaisant, contrôle qualité OK",2,21,1,False,True,normal,orageux
2022-01-12 22:27:09,Hôpital de District Bonassama,A+,57,5,0,52,3.9,10,100.0,normale,Attention: proche expiration,2,22,1,False,True,normal,pluvieux
2022-01-13 03:39:31,Hôpital de District Bonassama,B+,22,11,0,11,3.5,16,100.0,faible,Parfait pour transfusion immédiate,3,3,1,False,True,normal,ensoleillé
2022-01-13 15:30:23,Hôpital de District Bonassama,O+,79,15,19,83,4.0,9,100.0,normale,Urgent: vérifier température stockage,3,15,1,False,True,urgence_médicale,nuageux
2022-01-13 23:47:52,Hôpital de District Bonassama,O-,42,9,21,54,4.2,13,100.0,normale,"État satisfaisant, contrôle qualité OK",3,23,1,False,True,normal,nuageux
2022-01-14 07:33:40,Hôpital de District Bonassama,A-,73,7,0,66,4.4,8,97.2,normale,Attention: proche expiration,4,7,1,False,True,normal,pluvieux
2022-01-16 04:06:07,Hôpital de District Bonassama,A+,14,6,0,8,3.0,27,100.0,critique,URGENT: Stock critique - Parfait pour transfusion immédiate,6,4,1,True,True,normal,orageux
2022-01-16 11:29:04,Hôpital de District Bonassama,AB+,39,6,12,45,3.6,5,100.0,normale,"État satisfaisant, contrôle qualité OK",6,11,1,True,True,normal,ensoleillé
2022-01-16 17:10:06,Hôpital de District Bonassama,A+,45,4,0,41,4.3,11,100.0,normale,"État satisfaisant, contrôle qualité OK",6,17,1,True,True,normal,ensoleillé
2022-01-17 08:06:25,Hôpital de District Bonassama,O-,58,9,0,49,4.4,3,87.9,normale,Contrôle bactériologique négatif,0,8,1,False,True,urgence_médicale,ensoleillé
2022-01-18 00:59:01,Hôpital de District Bonassama,A+,40,7,0,33,4.5,10,100.0,normale,Parfait pour transfusion immédiate,1,0,1,False,True,accident_route,nuageux
2022-01-18 02:47:32,Hôpital de District Bonassama,B+,26,6,19,39,4.2,19,93.2,normale,"Excellent état, conservation parfaite",1,2,1,False,True,normal,ensoleillé
2022-01-18 10:25:28,Hôpital de District Bonassama,A+,50,12,20,58,4.5,27,99.0,normale,Hémoglobine dans les normes,1,10,1,False,True,normal,nuageux
2022-01-18 14:58:38,Hôpital de District Bonassama,O+,44,6,0,38,3.8,22,100.0,normale,Hémoglobine dans les normes,1,14,1,False,True,normal,pluvieux
2022-01-19 09:48:31,Hôpital de District Bonassama,AB-,58,6,0,52,3.4,43,99.7,normale,Hémoglobine dans les normes,2,9,1,False,True,normal,pluvieux
2022-01-20 23:44:53,Hôpital de District Bonassama,A+,14,1,0,13,4.1,7,100.0,faible,Parfait pour transfusion immédiate,3,23,1,False,True,normal,nuageux
2022-01-21 02:09:23,Hôpital de District Bonassama,A+,31,10,0,21,4.4,4,82.4,normale,"Bon état général, légère variation température",4,2,1,False,True,normal,nuageux
2022-01-21 11:28:39,Hôpital de District Bonassama,A+,52,1,0,51,3.9,3,74.7,normale,Hémoglobine dans les normes,4,11,1,False,True,normal,pluvieux
2022-01-21 21:45:09,Hôpital de District Bonassama,A+,69,8,0,61,4.6,6,100.0,normale,Contrôle bactériologique négatif,4,21,1,False,True,normal,nuageux
2022-01-21 22:41:27,Hôpital de District Bonassama,O+,63,12,0,51,4.2,1,63.2,attention,Attention: proche expiration,4,22,1,False,True,normal,ensoleillé
2022-01-22 05:51:14,Hôpital de District Bonassama,O+,15,3,24,36,4.3,29,100.0,normale,"Bon état général, légère variation température",5,5,1,True,True,normal,ensoleillé
2022-01-23 13:03:42,Hôpital de District Bonassama,O+,66,6,0,60,4.5,2,90.5,normale,Parfait pour transfusion immédiate,6,13,1,True,True,normal,pluvieux
2022-01-23 15:14:37,Hôpital de District Bonassama,A+,31,6,19,44,3.9,1,57.3,attention,Hémoglobine dans les normes,6,15,1,True,True,normal,ensoleillé
2022-01-24 12:34:12,Hôpital de District Bonassama,A+,69,6,0,63,4.1,21,100.0,normale,Contrôle bactériologique négatif,0,12,1,False,True,urgence_médicale,orageux
2022-01-24 17:44:21,Hôpital de District Bonassama,O-,41,13,22,50,4.2,10,99.4,normale,Hémoglobine dans les normes,0,17,1,False,True,normal,orageux
2022-01-25 06:59:06,Hôpital de District Bonassama,O+,47,9,12,50,3.7,2,82.0,normale,Hémoglobine dans les normes,1,6,1,False,True,normal,pluvieux
2022-01-25 12:31:01,Hôpital de District Bonassama,A-,38,12,0,26,4.3,5,98.8,normale,Attention: proche expiration,1,12,1,False,True,normal,ensoleillé
2022-01-26 08:27:03,Hôpital de District Bonassama,O+,81,12,0,69,3.9,5,100.0,normale,Hémoglobine dans les normes,2,8,1,False,True,normal,pluvieux
2022-01-26 11:18:01,Hôpital de District Bonassama,AB+,18,10,0,8,4.5,9,100.0,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",2,11,1,False,True,normal,pluvieux
2022-01-26 13:20:01,Hôpital de District Bonassama,A+,36,5,0,31,4.5,12,100.0,normale,"Excellent état, conservation parfaite",2,13,1,False,True,normal,pluvieux
2022-01-26 23:46:28,Hôpital de District Bonassama,O+,24,12,22,34,4.0,5,96.8,normale,Hémoglobine dans les normes,2,23,1,False,True,normal,ensoleillé
2022-01-28 00:41:59,Hôpital de District Bonassama,A-,26,11,13,28,3.6,20,99.3,normale,Parfait pour transfusion immédiate,4,0,1,False,True,normal,ensoleillé
2022-01-28 07:20:10,Hôpital de District Bonassama,O+,88,14,0,74,4.4,1,55.1,attention,Parfait pour transfusion immédiate,4,7,1,False,True,normal,nuageux
2022-01-28 11:13:29,Hôpital de District Bonassama,O-,34,10,0,24,4.7,20,100.0,normale,Parfait pour transfusion immédiate,4,11,1,False,True,accident_route,nuageux
2022-01-28 21:12:27,Hôpital de District Bonassama,A+,69,5,0,64,4.1,17,100.0,normale,Urgent: vérifier température stockage,4,21,1,False,True,normal,nuageux
2022-01-29 10:39:38,Hôpital de District Bonassama,A+,38,7,0,31,3.6,3,83.6,normale,Attention: proche expiration,5,10,1,True,True,normal,pluvieux
2022-01-29 12:31:48,Hôpital de District Bonassama,O+,42,3,19,58,4.3,1,71.1,normale,Urgent: vérifier température stockage,5,12,1,True,True,normal,pluvieux
2022-01-29 18:31:32,Hôpital de District Bonassama,B+,39,4,0,35,3.9,11,100.0,normale,Hémoglobine dans les normes,5,18,1,True,True,normal,nuageux
2022-01-29 23:17:22,Hôpital de District Bonassama,B+,14,4,0,10,3.4,1,52.6,faible,"Excellent état, conservation parfaite",5,23,1,True,True,normal,orageux
