timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 03:09:49,Hôpital Militaire,A+,17,5,0,12,3.7,11,95.4,faible,Contrôle bactériologique négatif,5,3,1,True,True,normal,ensoleillé
2022-01-01 12:36:00,Hôpital Militaire,O+,25,4,20,41,4.3,19,100.0,normale,Urgent: vérifier température stockage,5,12,1,True,True,normal,ensoleillé
2022-01-01 15:43:13,Hôpital Militaire,O+,84,4,0,80,3.8,1,59.7,attention,"Excellent état, conservation parfaite",5,15,1,True,True,normal,ensoleillé
2022-01-01 16:10:26,Hôpital Militaire,A+,24,9,0,15,4.5,4,85.1,faible,Attention: proche expiration,5,16,1,True,True,normal,nuageux
2022-01-01 21:27:26,Hôpital Militaire,O+,48,9,0,39,4.1,3,86.6,normale,Parfait pour transfusion immédiate,5,21,1,True,True,normal,pluvieux
2022-01-01 22:22:24,Hôpital Militaire,O+,59,7,27,79,3.9,8,98.2,normale,Attention: proche expiration,5,22,1,True,True,normal,nuageux
2022-01-02 22:06:05,Hôpital Militaire,O+,49,9,0,40,4.1,1,64.2,attention,Hémoglobine dans les normes,6,22,1,True,True,normal,ensoleillé
2022-01-02 23:49:11,Hôpital Militaire,A+,22,3,23,42,4.4,4,80.2,normale,Contrôle bactériologique négatif,6,23,1,True,True,normal,pluvieux
2022-01-04 18:04:22,Hôpital Militaire,A+,55,12,0,43,3.9,44,96.9,normale,Contrôle bactériologique négatif,1,18,1,False,True,normal,pluvieux
2022-01-05 05:57:28,Hôpital Militaire,A+,41,12,18,47,3.8,49,100.0,normale,Contrôle bactériologique négatif,2,5,1,False,True,normal,orageux
2022-01-05 07:21:46,Hôpital Militaire,A+,61,13,0,48,4.2,11,100.0,normale,Urgent: vérifier température stockage,2,7,1,False,True,normal,orageux
2022-01-06 01:08:44,Hôpital Militaire,O+,20,8,0,12,4.7,3,89.4,faible,"État satisfaisant, contrôle qualité OK",3,1,1,False,True,normal,ensoleillé
