timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-02 21:36:33,Clinique des Spécialités,AB+,37,6,0,31,3.3,6,100.0,normale,"Excellent état, conservation parfaite",6,21,1,True,True,normal,ensoleillé
2022-01-06 14:02:49,Hôpital Laquintinie,AB+,45,6,18,57,3.5,5,96.7,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,nuageux
2022-01-11 22:32:54,Centre Médical d'Excellence,AB+,53,10,11,54,3.5,23,97.4,normale,Parfait pour transfusion immédiate,1,22,1,False,True,normal,ensoleillé
2022-01-15 06:28:59,Hôpital Laquintinie,AB+,27,3,0,24,4.3,19,100.0,normale,Contrôle bactériologique négatif,5,6,1,True,True,normal,ensoleillé
2022-01-16 01:33:23,Hôpital Laquintinie,AB+,14,6,0,8,3.9,3,89.9,critique,URGENT: Stock critique - Urgent: vérifier température stockage,6,1,1,True,True,accident_route,ensoleillé
2022-01-16 11:29:04,Hôpital de District Bonassama,AB+,39,6,12,45,3.6,5,100.0,normale,"État satisfaisant, contrôle qualité OK",6,11,1,True,True,normal,ensoleillé
2022-01-23 11:43:35,Clinique des Spécialités,AB+,76,6,0,70,4.6,21,98.3,normale,Attention: proche expiration,6,11,1,True,True,normal,ensoleillé
2022-01-25 13:35:33,Hôpital Général Douala,AB+,60,3,0,57,3.7,4,86.1,normale,"Bon état général, légère variation température",1,13,1,False,True,normal,pluvieux
2022-01-26 11:18:01,Hôpital de District Bonassama,AB+,18,10,0,8,4.5,9,100.0,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",2,11,1,False,True,normal,pluvieux
2022-01-28 14:51:13,Centre Médical d'Excellence,AB+,56,7,28,77,3.1,6,100.0,normale,Attention: proche expiration,4,14,1,False,True,normal,ensoleillé
2022-01-29 11:19:23,Hôpital Général Douala,AB+,24,8,0,16,3.9,4,82.0,faible,Attention: proche expiration,5,11,1,True,True,normal,nuageux
2022-02-03 06:07:14,Clinique des Spécialités,AB+,60,2,0,58,3.9,4,84.6,normale,Contrôle bactériologique négatif,3,6,2,False,False,normal,pluvieux
2022-02-09 21:19:46,Hôpital Militaire,AB+,63,2,0,61,4.0,38,100.0,normale,Urgent: vérifier température stockage,2,21,2,False,False,normal,ensoleillé
2022-02-11 06:21:53,Clinique des Spécialités,AB+,42,6,0,36,3.9,6,100.0,normale,Contrôle bactériologique négatif,4,6,2,False,False,normal,nuageux
2022-02-13 07:00:55,Hôpital de District Bonassama,AB+,32,7,0,25,3.9,41,100.0,normale,"État satisfaisant, contrôle qualité OK",6,7,2,True,False,normal,ensoleillé
2022-02-16 10:17:21,Hôpital Militaire,AB+,51,7,0,44,3.9,5,96.0,normale,Urgent: vérifier température stockage,2,10,2,False,False,normal,pluvieux
2022-02-19 08:14:32,Hôpital Militaire,AB+,22,7,0,15,3.5,50,100.0,faible,Parfait pour transfusion immédiate,5,8,2,True,False,normal,nuageux
2022-02-20 18:05:23,Hôpital Laquintinie,AB+,46,4,0,42,2.4,10,95.9,normale,"Excellent état, conservation parfaite",6,18,2,True,False,normal,ensoleillé
2022-02-21 09:50:42,Hôpital de District Bonassama,AB+,85,7,29,107,3.7,1,60.3,attention,"Bon état général, légère variation température",0,9,2,False,False,normal,pluvieux
2022-02-23 07:07:00,Hôpital Général Douala,AB+,64,6,19,77,3.0,37,93.8,normale,Attention: proche expiration,2,7,2,False,False,normal,pluvieux
2022-02-23 17:12:39,Hôpital Laquintinie,AB+,60,11,0,49,4.2,52,100.0,normale,"Excellent état, conservation parfaite",2,17,2,False,False,normal,orageux
2022-02-25 00:52:36,Hôpital Laquintinie,AB+,12,11,24,25,4.4,5,100.0,normale,Urgent: vérifier température stockage,4,0,2,False,False,normal,orageux
2022-02-26 17:22:08,Centre Médical d'Excellence,AB+,30,3,0,27,3.5,51,100.0,normale,"Bon état général, légère variation température",5,17,2,True,False,normal,pluvieux
2022-03-03 17:31:45,Hôpital Laquintinie,AB+,59,10,22,71,4.0,33,100.0,normale,Parfait pour transfusion immédiate,3,17,3,False,False,normal,orageux
2022-03-06 22:21:44,Centre Médical d'Excellence,AB+,43,3,0,40,4.9,18,94.7,normale,"Excellent état, conservation parfaite",6,22,3,True,False,normal,ensoleillé
2022-03-07 20:42:12,Hôpital Laquintinie,AB+,41,11,0,30,3.4,1,63.6,attention,Parfait pour transfusion immédiate,0,20,3,False,False,normal,pluvieux
2022-03-08 01:59:14,Hôpital Général Douala,AB+,23,3,21,41,3.4,10,100.0,normale,"Bon état général, légère variation température",1,1,3,False,False,normal,ensoleillé
2022-03-08 11:56:28,Hôpital Laquintinie,AB+,40,6,23,57,4.2,1,59.3,attention,Contrôle bactériologique négatif,1,11,3,False,False,normal,pluvieux
2022-03-11 08:40:09,Hôpital Militaire,AB+,49,6,0,43,4.3,15,100.0,normale,"État satisfaisant, contrôle qualité OK",4,8,3,False,False,normal,nuageux
2022-03-12 00:48:48,Hôpital Militaire,AB+,19,1,0,18,3.5,18,100.0,faible,"Bon état général, légère variation température",5,0,3,True,False,normal,pluvieux
2022-03-12 05:34:03,Hôpital Laquintinie,AB+,14,6,0,8,3.2,13,100.0,critique,"URGENT: Stock critique - Excellent état, conservation parfaite",5,5,3,True,False,normal,ensoleillé
2022-03-14 23:32:49,Hôpital Général Douala,AB+,22,10,13,25,4.6,23,90.5,normale,"Excellent état, conservation parfaite",0,23,3,False,False,urgence_médicale,nuageux
2022-03-16 05:41:04,Hôpital Militaire,AB+,31,15,17,33,3.9,33,100.0,normale,Attention: proche expiration,2,5,3,False,False,normal,nuageux
2022-03-17 16:21:27,Centre Médical d'Excellence,AB+,62,8,21,75,4.3,22,99.4,normale,Hémoglobine dans les normes,3,16,3,False,False,normal,orageux
2022-03-18 02:50:15,Clinique des Spécialités,AB+,27,12,28,43,3.6,14,99.6,normale,Attention: proche expiration,4,2,3,False,False,normal,ensoleillé
2022-03-18 21:01:26,Centre Médical d'Excellence,AB+,55,6,19,68,4.0,6,88.2,normale,Attention: proche expiration,4,21,3,False,False,normal,pluvieux
2022-03-21 09:43:54,Hôpital Laquintinie,AB+,58,0,0,58,3.5,4,92.9,normale,Parfait pour transfusion immédiate,0,9,3,False,False,normal,orageux
2022-03-22 20:45:19,Clinique des Spécialités,AB+,62,6,20,76,4.7,6,100.0,normale,"Excellent état, conservation parfaite",1,20,3,False,False,normal,orageux
2022-03-25 02:55:50,Clinique des Spécialités,AB+,12,10,0,2,4.5,8,96.8,critique,"URGENT: Stock critique - Excellent état, conservation parfaite",4,2,3,False,False,normal,ensoleillé
2022-03-25 08:13:47,Hôpital Laquintinie,AB+,61,9,19,71,4.2,1,67.3,attention,Hémoglobine dans les normes,4,8,3,False,False,normal,pluvieux
2022-03-25 20:33:15,Hôpital de District Bonassama,AB+,42,7,22,57,4.3,18,97.9,normale,Hémoglobine dans les normes,4,20,3,False,False,normal,pluvieux
2022-03-29 05:42:53,Hôpital Général Douala,AB+,26,4,0,22,3.8,44,99.3,normale,"État satisfaisant, contrôle qualité OK",1,5,3,False,False,normal,nuageux
2022-03-30 13:32:58,Clinique des Spécialités,AB+,48,11,0,37,3.5,31,96.2,normale,Attention: proche expiration,2,13,3,False,False,normal,ensoleillé
2022-04-02 11:36:20,Clinique des Spécialités,AB+,29,4,0,25,4.0,4,77.0,normale,Hémoglobine dans les normes,5,11,4,True,False,normal,ensoleillé
2022-04-10 14:06:12,Hôpital Laquintinie,AB+,28,7,0,21,4.8,15,100.0,normale,Hémoglobine dans les normes,6,14,4,True,False,normal,pluvieux
2022-04-10 17:23:25,Centre Médical d'Excellence,AB+,37,6,0,31,4.3,8,95.3,normale,Parfait pour transfusion immédiate,6,17,4,True,False,normal,pluvieux
2022-04-12 13:39:27,Hôpital Laquintinie,AB+,40,11,15,44,4.6,32,100.0,normale,Attention: proche expiration,1,13,4,False,False,normal,ensoleillé
2022-04-13 01:41:37,Hôpital de District Bonassama,AB+,27,7,0,20,3.9,28,95.8,normale,Parfait pour transfusion immédiate,2,1,4,False,False,normal,pluvieux
2022-04-15 03:40:12,Hôpital Laquintinie,AB+,25,5,0,20,3.6,1,66.5,attention,Attention: proche expiration,4,3,4,False,False,normal,ensoleillé
2022-04-15 05:40:05,Hôpital Militaire,AB+,26,3,0,23,4.2,15,100.0,normale,"Bon état général, légère variation température",4,5,4,False,False,normal,orageux
2022-04-16 07:33:37,Hôpital de District Bonassama,AB+,30,6,0,24,3.4,13,99.0,normale,Parfait pour transfusion immédiate,5,7,4,True,False,normal,ensoleillé
2022-04-18 20:51:09,Hôpital Militaire,AB+,69,4,0,65,4.0,9,100.0,normale,Parfait pour transfusion immédiate,0,20,4,False,False,normal,ensoleillé
2022-04-19 00:25:53,Hôpital Laquintinie,AB+,30,7,0,23,4.3,2,82.8,normale,Hémoglobine dans les normes,1,0,4,False,False,normal,orageux
2022-04-20 19:23:59,Clinique des Spécialités,AB+,71,11,17,77,4.2,30,94.9,normale,Contrôle bactériologique négatif,2,19,4,False,False,normal,orageux
2022-04-21 10:16:16,Clinique des Spécialités,AB+,35,9,17,43,4.2,32,97.5,normale,Hémoglobine dans les normes,3,10,4,False,False,normal,ensoleillé
2022-04-23 21:58:31,Clinique des Spécialités,AB+,48,9,22,61,4.2,28,97.5,normale,Hémoglobine dans les normes,5,21,4,True,False,normal,pluvieux
2022-04-25 01:45:50,Hôpital Laquintinie,AB+,26,7,0,19,3.8,21,94.9,faible,Parfait pour transfusion immédiate,0,1,4,False,False,normal,orageux
2022-04-25 12:37:24,Hôpital Laquintinie,AB+,67,3,0,64,3.9,4,81.3,normale,Parfait pour transfusion immédiate,0,12,4,False,False,normal,ensoleillé
2022-04-25 17:33:05,Hôpital Laquintinie,AB+,72,10,0,62,4.0,32,98.0,normale,Contrôle bactériologique négatif,0,17,4,False,False,normal,nuageux
2022-04-28 09:16:47,Hôpital Militaire,AB+,57,6,0,51,3.9,16,100.0,normale,Contrôle bactériologique négatif,3,9,4,False,False,normal,pluvieux
2022-04-28 18:10:05,Hôpital Militaire,AB+,66,8,0,58,3.9,7,98.3,normale,Parfait pour transfusion immédiate,3,18,4,False,False,normal,ensoleillé
2022-04-29 17:10:07,Hôpital Laquintinie,AB+,46,2,12,56,3.2,1,56.5,attention,Contrôle bactériologique négatif,4,17,4,False,False,normal,ensoleillé
2022-04-29 23:48:29,Centre Médical d'Excellence,AB+,32,12,15,35,4.4,5,95.5,normale,"Bon état général, légère variation température",4,23,4,False,False,normal,orageux
2022-04-30 21:30:06,Centre Médical d'Excellence,AB+,18,9,17,26,4.4,16,100.0,normale,"Bon état général, légère variation température",5,21,4,True,False,normal,pluvieux
2022-05-03 16:14:06,Hôpital Général Douala,AB+,67,8,21,80,4.8,33,95.4,normale,Attention: proche expiration,1,16,5,False,False,normal,ensoleillé
2022-05-04 14:55:06,Hôpital Général Douala,AB+,42,7,0,35,3.5,68,91.9,normale,Hémoglobine dans les normes,2,14,5,False,False,normal,ensoleillé
2022-05-07 12:48:50,Hôpital Laquintinie,AB+,23,7,0,16,3.4,13,100.0,faible,"Bon état général, légère variation température",5,12,5,True,False,normal,nuageux
2022-05-10 12:58:51,Hôpital Général Douala,AB+,39,8,0,31,4.7,3,85.7,normale,Urgent: vérifier température stockage,1,12,5,False,False,normal,ensoleillé
2022-05-10 13:33:03,Hôpital de District Bonassama,AB+,61,5,0,56,4.6,33,100.0,normale,Parfait pour transfusion immédiate,1,13,5,False,False,normal,orageux
2022-05-14 10:05:21,Hôpital Général Douala,AB+,52,5,0,47,4.3,2,88.4,normale,Contrôle bactériologique négatif,5,10,5,True,False,normal,ensoleillé
2022-05-15 05:21:35,Hôpital Militaire,AB+,14,6,0,8,3.7,6,93.5,critique,URGENT: Stock critique - Urgent: vérifier température stockage,6,5,5,True,False,normal,nuageux
2022-05-20 00:29:05,Hôpital Laquintinie,AB+,28,9,0,19,3.3,2,75.3,faible,Urgent: vérifier température stockage,4,0,5,False,False,normal,ensoleillé
2022-05-24 12:34:16,Hôpital Général Douala,AB+,55,5,0,50,4.7,7,96.2,normale,Attention: proche expiration,1,12,5,False,False,normal,ensoleillé
2022-05-27 20:20:46,Hôpital Général Douala,AB+,46,3,0,43,4.7,10,100.0,normale,"Bon état général, légère variation température",4,20,5,False,False,normal,ensoleillé
2022-05-29 18:34:57,Hôpital Laquintinie,AB+,19,2,0,17,3.1,2,83.6,faible,"Excellent état, conservation parfaite",6,18,5,True,False,normal,ensoleillé
2022-05-30 16:40:28,Hôpital Laquintinie,AB+,68,9,0,59,3.2,9,95.7,normale,Hémoglobine dans les normes,0,16,5,False,False,normal,nuageux
2022-06-03 21:43:49,Centre Médical d'Excellence,AB+,42,13,12,41,4.7,14,91.8,normale,Attention: proche expiration,4,21,6,False,False,normal,pluvieux
2022-06-04 15:14:21,Clinique des Spécialités,AB+,45,5,15,55,4.1,8,100.0,normale,Contrôle bactériologique négatif,5,15,6,True,False,normal,nuageux
