timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 01:43:17,Hôpital de District Bonassama,A-,13,7,0,6,4.1,18,100.0,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,1,1,True,True,normal,ensoleillé
2022-01-01 03:09:49,Hôpital Militaire,A+,17,5,0,12,3.7,11,95.4,faible,Contrôle bactériologique négatif,5,3,1,True,True,normal,ensoleillé
2022-01-01 03:26:10,Hôpital Laquintinie,B+,26,2,14,38,3.6,23,89.3,normale,"État satisfaisant, contrôle qualité OK",5,3,1,True,True,normal,pluvieux
2022-01-01 03:38:48,Hôpital Laquintinie,A+,37,7,0,30,4.1,2,82.4,normale,Hémoglobine dans les normes,5,3,1,True,True,normal,pluvieux
2022-01-01 05:21:18,Clinique des Spécialités,A+,17,9,13,21,3.5,10,99.2,normale,"Excellent état, conservation parfaite",5,5,1,True,True,normal,ensoleillé
2022-01-01 07:34:02,Clinique des Spécialités,A+,39,7,0,32,3.4,11,100.0,normale,"Bon état général, légère variation température",5,7,1,True,True,normal,ensoleillé
2022-01-01 10:39:39,Hôpital de District Bonassama,AB-,44,8,0,36,3.5,4,77.1,normale,Hémoglobine dans les normes,5,10,1,True,True,normal,orageux
2022-01-01 12:36:00,Hôpital Militaire,O+,25,4,20,41,4.3,19,100.0,normale,Urgent: vérifier température stockage,5,12,1,True,True,normal,ensoleillé
2022-01-01 12:44:28,Hôpital Laquintinie,O+,39,5,0,34,3.2,1,65.5,attention,Parfait pour transfusion immédiate,5,12,1,True,True,normal,ensoleillé
2022-01-01 13:25:06,Hôpital de District Bonassama,A+,56,4,20,72,4.5,12,100.0,normale,"Excellent état, conservation parfaite",5,13,1,True,True,normal,nuageux
2022-01-01 15:43:13,Hôpital Militaire,O+,84,4,0,80,3.8,1,59.7,attention,"Excellent état, conservation parfaite",5,15,1,True,True,normal,ensoleillé
2022-01-01 16:10:26,Hôpital Militaire,A+,24,9,0,15,4.5,4,85.1,faible,Attention: proche expiration,5,16,1,True,True,normal,nuageux
2022-01-01 20:15:00,Hôpital de District Bonassama,B+,32,8,0,24,3.9,2,82.9,normale,Urgent: vérifier température stockage,5,20,1,True,True,normal,ensoleillé
2022-01-01 21:27:26,Hôpital Militaire,O+,48,9,0,39,4.1,3,86.6,normale,Parfait pour transfusion immédiate,5,21,1,True,True,normal,pluvieux
2022-01-01 22:22:24,Hôpital Militaire,O+,59,7,27,79,3.9,8,98.2,normale,Attention: proche expiration,5,22,1,True,True,normal,nuageux
2022-01-01 23:52:57,Clinique des Spécialités,O+,4,7,0,0,3.8,6,98.6,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,23,1,True,True,normal,pluvieux
2022-01-02 01:25:12,Hôpital de District Bonassama,O-,22,1,0,21,3.5,53,100.0,normale,Attention: proche expiration,6,1,1,True,True,normal,ensoleillé
2022-01-02 03:15:15,Hôpital de District Bonassama,O-,20,2,17,35,4.1,10,97.8,normale,"État satisfaisant, contrôle qualité OK",6,3,1,True,True,normal,ensoleillé
2022-01-02 05:09:40,Clinique des Spécialités,A+,24,6,0,18,3.7,10,97.9,faible,Contrôle bactériologique négatif,6,5,1,True,True,normal,orageux
2022-01-02 05:28:13,Hôpital Général Douala,O-,25,3,24,46,3.6,15,100.0,normale,"Bon état général, légère variation température",6,5,1,True,True,normal,orageux
2022-01-02 07:31:39,Clinique des Spécialités,O+,30,6,0,24,3.8,3,89.6,normale,Contrôle bactériologique négatif,6,7,1,True,True,normal,ensoleillé
2022-01-02 09:30:55,Hôpital de District Bonassama,A+,63,8,0,55,4.0,3,83.2,normale,"Bon état général, légère variation température",6,9,1,True,True,normal,pluvieux
2022-01-02 16:10:44,Hôpital Laquintinie,O+,48,4,0,44,4.3,2,84.2,normale,"Bon état général, légère variation température",6,16,1,True,True,normal,pluvieux
2022-01-02 16:57:14,Hôpital de District Bonassama,A-,37,8,0,29,4.5,12,100.0,normale,Parfait pour transfusion immédiate,6,16,1,True,True,normal,nuageux
2022-01-02 21:36:33,Clinique des Spécialités,AB+,37,6,0,31,3.3,6,100.0,normale,"Excellent état, conservation parfaite",6,21,1,True,True,normal,ensoleillé
2022-01-02 22:06:05,Hôpital Militaire,O+,49,9,0,40,4.1,1,64.2,attention,Hémoglobine dans les normes,6,22,1,True,True,normal,ensoleillé
2022-01-02 23:49:11,Hôpital Militaire,A+,22,3,23,42,4.4,4,80.2,normale,Contrôle bactériologique négatif,6,23,1,True,True,normal,pluvieux
2022-01-02 23:52:49,Hôpital Laquintinie,A+,25,9,0,16,4.2,12,100.0,faible,Parfait pour transfusion immédiate,6,23,1,True,True,normal,nuageux
2022-01-03 01:52:44,Centre Médical d'Excellence,A+,17,6,18,29,4.6,10,100.0,normale,"État satisfaisant, contrôle qualité OK",0,1,1,False,True,normal,nuageux
2022-01-03 03:02:24,Hôpital Laquintinie,O+,17,9,0,8,3.5,1,64.9,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",0,3,1,False,True,normal,nuageux
2022-01-03 04:51:30,Centre Médical d'Excellence,O+,28,12,0,16,3.8,7,100.0,faible,Parfait pour transfusion immédiate,0,4,1,False,True,normal,nuageux
2022-01-03 08:12:44,Clinique des Spécialités,O+,43,7,0,36,4.4,17,100.0,normale,"État satisfaisant, contrôle qualité OK",0,8,1,False,True,normal,ensoleillé
2022-01-03 12:29:49,Hôpital de District Bonassama,O+,64,6,20,78,4.4,18,100.0,normale,Parfait pour transfusion immédiate,0,12,1,False,True,normal,pluvieux
2022-01-03 13:39:13,Hôpital de District Bonassama,A-,76,7,27,96,4.7,15,100.0,normale,Contrôle bactériologique négatif,0,13,1,False,True,normal,ensoleillé
2022-01-03 16:44:48,Hôpital de District Bonassama,O+,64,10,18,72,4.1,1,55.7,attention,Contrôle bactériologique négatif,0,16,1,False,True,normal,pluvieux
2022-01-03 17:51:28,Centre Médical d'Excellence,B+,27,10,21,38,3.6,11,98.3,normale,"Excellent état, conservation parfaite",0,17,1,False,True,normal,pluvieux
2022-01-03 18:05:47,Centre Médical d'Excellence,O+,69,5,0,64,5.2,15,100.0,normale,Attention: proche expiration,0,18,1,False,True,normal,ensoleillé
2022-01-03 21:02:34,Hôpital Général Douala,O+,60,11,0,49,4.5,4,81.9,normale,Attention: proche expiration,0,21,1,False,True,normal,pluvieux
2022-01-03 23:07:38,Hôpital de District Bonassama,B+,23,15,0,8,3.8,4,83.4,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",0,23,1,False,True,normal,ensoleillé
2022-01-04 04:36:48,Hôpital Général Douala,AB-,38,14,0,24,4.2,14,100.0,normale,Contrôle bactériologique négatif,1,4,1,False,True,normal,pluvieux
2022-01-04 04:52:25,Centre Médical d'Excellence,B+,23,4,24,43,3.9,1,69.4,attention,"Bon état général, légère variation température",1,4,1,False,True,normal,ensoleillé
2022-01-04 08:03:05,Hôpital de District Bonassama,B-,36,9,19,46,4.8,1,66.6,attention,"Bon état général, légère variation température",1,8,1,False,True,normal,pluvieux
2022-01-04 08:41:49,Hôpital Général Douala,A-,61,18,0,43,4.2,2,89.5,normale,Contrôle bactériologique négatif,1,8,1,False,True,normal,pluvieux
2022-01-04 08:51:33,Clinique des Spécialités,A+,56,9,0,47,4.3,12,100.0,normale,Hémoglobine dans les normes,1,8,1,False,True,normal,ensoleillé
2022-01-04 10:57:17,Hôpital Général Douala,A-,48,17,27,58,3.8,5,100.0,normale,Attention: proche expiration,1,10,1,False,True,normal,orageux
2022-01-04 13:11:30,Hôpital Laquintinie,O+,48,8,0,40,4.5,31,100.0,normale,Urgent: vérifier température stockage,1,13,1,False,True,urgence_médicale,ensoleillé
2022-01-04 14:42:33,Hôpital de District Bonassama,O+,48,12,0,36,4.3,24,96.4,normale,Contrôle bactériologique négatif,1,14,1,False,True,normal,ensoleillé
2022-01-04 15:02:20,Hôpital Laquintinie,O-,27,5,0,22,3.7,40,100.0,normale,Attention: proche expiration,1,15,1,False,True,normal,nuageux
